model_name,accuracy,precision,recall,f1_score,training_time
Logistic Regression,0.9816425120772947,0.9636963696369637,0.9733333333333334,0.9684908789386402,0.038
Linear SVM,0.9816425120772947,0.9636963696369637,0.9733333333333334,0.9684908789386402,0.025
Random Forest,0.9748792270531401,0.9308176100628931,0.9866666666666667,0.9579288025889967,1.091
Gradient Boosting,0.9652173913043478,0.9150943396226415,0.97,0.941747572815534,15.61
Multinomial Naive Bayes,0.9391304347826087,0.8516320474777448,0.9566666666666667,0.9010989010989011,0.012
